PARENT_LEVEL_1_ID,PARENT_LEVEL_1_NAME,PARENT_LEVEL_2_ID,PARENT_LEVEL_2_NAME,PARENT_LEVEL_3_ID,PARENT_LEVEL_3_NAME,PARENT_LEVEL_4_ID,PARENT_LEVEL_4_NAME,PARENT_LEVEL_5_ID,PARENT_LEVEL_5_NAME,PARENT_LEVEL_6_ID,PARENT_LEVEL_6_NAME,PARENT_LEVEL_7_ID,PARENT_LEVEL_7_NAME
zmSNCYjqQGj,BURKINA FASO,Oh2EALVR2Pa,SAHEL,y6rnOGdMGoC,SOUM,Xj0D2QNeFkp,DS DJIBO,JHU3jtEB0as,BARABOULE,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,xZLoC4b9cjL,KOSSI,B4Ra7K6HuCE,DS NOUNA,NrG13X1XYqQ,BARANI,,,,
zmSNCYjqQGj,BURKINA FASO,QbUydxr5PH1,NORD,DZoeN2OD06X,YATENGA,fcJ37oO4EHG,DS THIOU,RhHNLMyZpAt,BARGA,,,,
zmSNCYjqQGj,BURKINA FASO,CrqTIkTFSWU,CENTRE NORD,ZYyFuYymjsB,SANMATENGA,TPgpGxUBU9y,DS BARSALOGHO,IdJZY0yZUqE,BARSALOGHO,,,,
zmSNCYjqQGj,BURKINA FASO,mNbmpbo6Oh3,EST,BEdiNstWoAZ,KOMANDJARI,MTzNY5OcfWh,DS GAYERI,aE9Ql4W95Z7,BARTIEBOUGOU,,,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,n6QVVj8lqAz,KOURITENGA,PMz4fDtfU88,DS KOUPELA,RBChDkNbkKP,BASKOURE,,,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,LQfiUedkjnj,GOMBORO,ieaJ0ibni5O,CSPS GOMBORO,esYA3DiQBQR,BASSAGOULO
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,xtsWdGgO3pd,KASSOUM,haRfeoeLNGH,CSPS TIANRA,UNrZFeIVyjm,BASSAN
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,qX6MMu2XR7K,TOUGAN,C8Pwn09MlU7,CSPS GORON,FPWmNoeKfAd,BASSEBTENGA
