ADM1,ADM2,ADM1_ID,ADM2_ID,"Adjusted incidence 2","Adjusted incidence 3","Adjusted incidence 1","Crude incidence",PFPR_U5_MAP,PFPR_U5_MIS,U5_MORTALITY,U5_DEATHS_MEAN,U5_MORTALITY_MIS,U5_MORTALITY_IHME,ADM2_POP
CENTRE,DS BOULMIOUGOU,WXDW5h0TFmT,eVFAuZOzogt,5316.5,7818.5,5316.5,340.5,19.3,5,8.34,1526.34753180067,39,69,1230251
CENTRE,DS NONGR MASSOM,WXDW5h0TFmT,TREK9HkatVq,3383,4975,3383,316,14.2,5,7.49,943.583789675861,39,69,373623
CENTRE,DS SIG NOGHIN,WXDW5h0TFmT,tMXsltjzzmR,2018,2967,2015,285.5,17.6,5,8.43,585.519208287954,39,69,682097
BOUCLE DU MOUHOUN,DS BOROMO,awG7snlrjVy,CTtB0TPRvWc,2569.5,4296.5,2545,422.5,29.1,11,10.38,1317.36113164319,51,103.7,338945
BOUCLE DU MOUHOUN,DS DEDOUGOU,awG7snlrjVy,tiEY3MitYl2,1515,2532.5,1502.5,361,25.1,11,9.17,1618.78620739712,51,103.7,441798
BOUCLE DU MOUHOUN,DS NOUNA,awG7snlrjVy,B4Ra7K6HuCE,770.5,1288,768,362.5,27.3,11,11.36,2076.85395353418,51,103.7,401036
BOUCLE DU MOUHOUN,DS SOLENZO,awG7snlrjVy,XfC8RKeUvO4,582.5,974,582,318,25.7,11,10.89,1791.47687657982,51,103.7,390016
BOUCLE DU MOUHOUN,DS TOMA,awG7snlrjVy,hEu36sUTBzU,495,827.5,494.5,266,27,11,9.27,891.873942727796,51,103.7,253363
BOUCLE DU MOUHOUN,DS TOUGAN,awG7snlrjVy,LatuEy3yR38,696,1163.5,694.5,217,25.2,11,10.33,1371.35020086927,51,103.7,320513
EST,DS BOGANDE,mNbmpbo6Oh3,yhs1ecKsLOc,2649,4075,2649,313,32.1,27,13.53,2452.16172911185,60,133.6,490843
EST,DS DIAPAGA,mNbmpbo6Oh3,cKNJ2FgOaS6,2472.5,3803.5,2472.5,268.5,36.7,27,15.02,3601.91665614489,60,133.6,718762
EST,DS FADA,mNbmpbo6Oh3,dUnuun0TG6i,1147,1764.5,1146.5,711.5,35,27,13.31,2602.31488330521,60,133.6,461755
