ADM1,ADM1_ID,ADM2,ADM2_ID,ADM2_POP,INCIDENCE_RR_MEDIAN,INCIDENCE_RR_TSR_MEDIAN,INCIDENCE_PRESUMED_MEDIAN,INCIDENCE_CRUDE_MEDIAN,PFPR_U5_MAP,PFPR_U5_MIS,PFPR_2TO10_MAP,U5_MORTALITY_MIS,U5_MORTALITY_IHME,MORBIDITY_RISK1,MORBIDITY_MORTALITY_RISK2,ITN_ACCESS_MAP,ITN_USE_MAP,ITN_USE_RATE_MAP,PROPORTION_SEASONAL_YEARS,ITN_ACCESS_SAMPLE_AVERAGE,ITN_ACCESS_CI_LOWER_BOUND,ITN_ACCESS_CI_UPPER_BOUND,DTP3_SAMPLE_AVERAGE,DTP3_CI_LOWER_BOUND,DTP3_CI_UPPER_BOUND
HAUTS BASSINS,x35OtBOWemw,DS KARANGASSO VIGUE,JHN0Dct4oJq,141199,754.5,1178,754.5,700.5,34.3,7.000000000000001,0.2466747760772705,61,105,9,14,0.891611635684967,0.8652954697608948,0.9696736335754395,0.333333333333333,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
BOUCLE DU MOUHOUN,awG7snlrjVy,DS TOUGAN,LatuEy3yR38,320513,813,1359,811.5,217.5,25.2,11,0.20749282836914063,51,103.7,9,14,0.8366011083126068,0.8111929893493652,0.9643761515617371,1,0.768060578391635,0.73670395760432,0.799417199178951,0.816604990877603,0.727147037073901,0.906062944681305
SUD OUEST,t8cSsU8HYBT,DS GAOUA,LiwtEFCSSIT,272820,758.5,1217.5,758.5,733.5,34.8,15,0.2698491960763931,112,125.9,9,14,0.8355870246887207,0.8023586273193359,0.9607670307159424,0.333333333333333,0.610652215607133,0.547846132770044,0.673458298444221,0.874101789494497,0.782812467485578,0.965391111503417
SUD OUEST,t8cSsU8HYBT,DS BATIE,Lp2BjBVT63s,112968,1022.5,1641.5,1022.5,984.5,40.7,15,0.3574547916650772,112,125.9,10,15,0.8118968904018402,0.7648685276508331,0.9381182789802551,0,0.610652215607133,0.547846132770044,0.673458298444221,0.874101789494497,0.782812467485578,0.965391111503417
EST,mNbmpbo6Oh3,DS GAYERI,MTzNY5OcfWh,110760,565.5,870,565.5,564,37.6,27,0.289992094039917,60,133.6,9,14,0.8228325247764587,0.8029644191265106,0.9756957292556763,0.666666666666667,0.583413627939287,0.538720189359201,0.628107066519372,0.8323229792518,0.742787561675904,0.921858396827695
CENTRE NORD,CrqTIkTFSWU,DS BOUSSOUMA,Nml6rVDElLh,247970,421,607.5,421,404,23.2,11,0.2254827320575714,59,109.9,8,13,0.8515010476112366,0.842905580997467,0.9869092106819153,1,0.618635435014211,0.580281931023312,0.65698893900511,0.844919640178013,0.784703975126819,0.905135305229208
SAHEL,Oh2EALVR2Pa,DS SEBBA,OUCEWyavOtS,185869,1613,2250,1613,205,31,28.999999999999996,0.2639327049255371,98,146.4,9,14,0.8445254862308502,0.8140908777713776,0.9579526782035828,1,0.559891201581442,0.477356877731092,0.642425525431793,0.715243102020974,0.566940840081579,0.86354536396037
HAUTS BASSINS,x35OtBOWemw,DS DANDE,PCg4pLGmKSM,257785,564.5,881.5,554,553,26.1,7.000000000000001,0.2274109497666359,61,105,9,14,0.9187432527542114,0.8925295770168304,0.9695112407207489,0.333333333333333,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
CENTRE EST,C9M7mlhBZcI,DS KOUPELA,PMz4fDtfU88,289816,812,1006.5,812,579.5,30.7,11,0.2298150435090065,58,96.1,9,13,0.8622742295265198,0.8456250727176666,0.983656495809555,1,0.644578761252224,0.614068211445881,0.675089311058567,0.916472421859676,0.88654407819158,0.946400765527772
CENTRE EST,C9M7mlhBZcI,DS GARANGO,QyuBzsj7V8W,234085,2522,3125,2522,740.5,25.5,11,0.21945852041244507,58,96.1,9,13,0.8780885338783264,0.8604174852371216,0.9775463342666626,1,0.644578761252224,0.614068211445881,0.675089311058567,0.916472421859676,0.88654407819158,0.946400765527772
